hospital_name,digital_team_name,contact_person,contact_first_name,contact_email,phone,country
Apollo Hospitals,Apollo Digital Health,,,info@apollohospitals.com,+91-44-2829-3333,IN
Fortis Healthcare,Digital Transformation Office,,,info@fortishealthcare.com,+91-124-492-1021,IN
Max Healthcare,Max Digital Health,,,corporate.communications@maxhealthcare.com,+91-11-2651-5050,IN
Manipal Hospitals,Digital Health & Innovation,,,info@manipalhospitals.com,+91-80-2502-4444,IN
Narayana Health,Digital Initiatives,,,enquiry@narayanahealth.org,+91-80-7122-2222,IN
AIIMS New Delhi,e-Hospital Project Office,,,info@aiims.edu,+91-11-2658-8500,IN
Medanta The Medicity,Medanta Digital Solutions,,,communications@medanta.org,+91-124-414-1414,IN
KIMS Hospitals,KIMS Digital Health,,,info@kimshospitals.com,+91-40-4488-5000,IN
Lilavati Hospital,Information Technology Department,,,info@lilavatihospital.com,+91-22-2675-1000,IN
Kokilaben Dhirubhai Ambani Hospital,Digital & Innovation Cell,,,info@kokilabenhospital.com,+91-22-4269-6969,IN
Wockhardt Hospitals,Information Technology Division,,,corporate@wockhardthospitals.com,+91-22-4128-4128,IN
P D Hinduja Hospital,IT & Digital Initiatives,,,info@hindujahospital.com,+91-22-2444-9199,IN
Aster DM Healthcare,Aster Digital Health,,,info@asterdmhealthcare.com,+91-484-669-9999,IN
Columbia Asia Hospitals,Digital Health,,,info@columbiaasia.com,+91-80-3989-8969,IN
Christian Medical College Vellore,Medical Informatics,,,registrar@cmcvellore.ac.in,+91-416-228-2010,IN
Tata Memorial Hospital,Digital Oncology,,,info@tmc.gov.in,+91-22-2417-7000,IN
Ruby Hall Clinic,IT Services,,,reachus@rubyhall.com,+91-20-6645-5555,IN
Jaslok Hospital,Information Technology,,,info@jaslokhospital.net,+91-22-6657-3333,IN
Sir Ganga Ram Hospital,Hospital IT Cell,,,inforeq@sgrh.com,+91-11-4225-4000,IN
BLK-Max Super Speciality Hospital,Digital Health Office,,,info@blkmaxhospital.com,+91-11-3040-3040,IN
