hospital_name,digital_team_name,contact_person,contact_first_name,contact_email,phone,country
Mayo Clinic,Mayo Clinic Platform,,,info@mayo.edu,1-507-284-2511,US
Cleveland Clinic,Digital Health Institute,,,info@ccf.org,1-216-444-2200,US
Johns Hopkins Medicine,Office of Digital Health Innovation,,,corpcomm@jhmi.edu,1-410-955-5000,US
Massachusetts General Hospital,Innovation Hub,,,info@mgh.harvard.edu,1-617-726-2000,US
UCLA Health,Office of Health Innovation,,,info@mednet.ucla.edu,1-310-825-9111,US
NewYork-Presbyterian,Innovation Center,,,info@nyp.org,1-212-746-5454,US
Cedars-Sinai,Cedars-Sinai Accelerator,,,info@cshs.org,1-310-423-3277,US
Stanford Health Care,Innovation & Digital Health,,,info@stanfordhealthcare.org,1-650-723-4000,US
UCSF Health,Center for Digital Health Innovation,,,info@ucsf.edu,1-415-476-9000,US
Northwestern Medicine,Digital Health Strategy Office,,,info@nm.org,1-312-926-2000,US
Houston Methodist,Center for Innovation,,,info@houstonmethodist.org,1-713-790-3311,US
Mount Sinai Health System,Hasso Plattner Institute for Digital Health,,,info@mountsinai.org,1-212-241-6500,US
NYU Langone Health,Medical Center Information Technology,,,info@nyulangone.org,1-212-263-7300,US
Duke Health,Duke Institute for Health Innovation,,,info@duke.edu,1-919-684-8111,US
Vanderbilt University Medical Center,VUMC Health IT,,,info@vumc.org,1-615-322-5000,US
University of Michigan Health,Health Information Technology & Services,,,info@umich.edu,1-734-936-4000,US
University of Pittsburgh Medical Center (UPMC),UPMC Enterprises,,,info@upmc.edu,1-412-647-8762,US
Memorial Sloan Kettering Cancer Center,Strategy & Innovation Office,,,info@mskcc.org,1-212-639-2000,US
Kaiser Permanente,Garfield Innovation Center,,,info@kp.org,1-800-464-4000,US
Intermountain Healthcare,Intermountain Ventures,,,info@imail.org,1-801-442-2000,US
